#      time         order        qbridges     qcdwalls2z   qdaylite     qequip2zon   qhc2zone     qlcwinds2z   qlite        qloss        qocc2zone    qterm2zone
  336.0000000       1.0000       0.0000      -1430.8       0.0000       0.0000       2413.3      -785.64       0.0000       0.0000       0.0000      -201.18    
  336.0277111       1.0000       0.0000      -1432.4       0.0000       0.0000       2415.0      -785.81       0.0000       0.0000       0.0000      -201.25    
  336.0554222       1.0000       0.0000      -1433.9       0.0000       0.0000       2416.8      -785.98       0.0000       0.0000       0.0000      -201.29    
  336.0682198       1.0000       0.0000      -1434.6       0.0000       0.0000       2417.6      -786.06       0.0000       0.0000       0.0000      -201.30    
  336.0682198       1.0000       0.0000      -1434.6       0.0000       0.0000       2417.6      -786.06       0.0000       0.0000       0.0000      -201.30    
  336.0903887       1.0000       0.0000      -1435.8       0.0000       0.0000       2419.0      -786.19       0.0000       0.0000       0.0000      -201.29    
  336.1125575       1.0000       0.0000      -1437.1       0.0000       0.0000       2420.3      -786.32       0.0000       0.0000       0.0000      -201.28    
  336.1568953       1.0000       0.0000      -1439.5       0.0000       0.0000       2423.0      -786.58       0.0000       0.0000       0.0000      -201.25    
  336.2455708       1.0000       0.0000      -1444.2       0.0000       0.0000       2428.3      -787.07       0.0000       0.0000       0.0000      -201.21    
  336.4229219       1.0000       0.0000      -1453.4       0.0000       0.0000       2438.3      -787.92       0.0000       0.0000       0.0000      -201.15    
  336.7776240       1.0000       0.0000      -1470.5       0.0000       0.0000       2457.1      -789.45       0.0000       0.0000       0.0000      -201.10    
  337.0000000       1.0000       0.0000      -1480.8       0.0000       0.0000       2468.4      -790.38       0.0000       0.0000       0.0000      -201.08    
  337.0000000       1.0000       0.0000      -1480.8       0.0000       0.0000       2468.4      -790.38       0.0000       0.0000       0.0000      -201.08    
  337.2837617       1.0000       0.0000      -1493.3       0.0000       0.0000       2482.1      -791.42       0.0000       0.0000       0.0000      -200.92    
  337.5675234       1.0000       0.0000      -1505.2       0.0000       0.0000       2495.0      -792.36       0.0000       0.0000       0.0000      -200.76    
  338.0000000       1.0000       0.0000      -1522.2       0.0000       0.0000       2513.5      -793.70       0.0000       0.0000       0.0000      -200.63    
  338.0000000       1.0000       0.0000      -1522.2       0.0000       0.0000       2513.5      -793.70       0.0000       0.0000       0.0000      -200.63    
  338.2270094       1.0000       0.0000      -1530.9       0.0000       0.0000       2522.9      -794.38       0.0000       0.0000       0.0000      -200.59    
  338.4540187       1.0000       0.0000      -1539.3       0.0000       0.0000       2532.0      -795.06       0.0000       0.0000       0.0000      -200.56    
  338.9080375       1.0000       0.0000      -1555.0       0.0000       0.0000       2549.3      -796.42       0.0000       0.0000       0.0000      -200.57    
  339.0000000       1.0000       0.0000      -1558.2       0.0000       0.0000       2552.7      -796.70       0.0000       0.0000       0.0000      -200.57    
  339.0000000       1.0000       0.0000      -1558.2       0.0000       0.0000       2552.7      -796.70       0.0000       0.0000       0.0000      -200.57    
  339.3632150       1.0000       0.0000      -1570.1       0.0000       0.0000       2565.6      -797.60       0.0000       0.0000       0.0000      -200.39    
  339.7264300       1.0000       0.0000      -1581.5       0.0000       0.0000       2577.9      -798.39       0.0000       0.0000       0.0000      -200.23    
  340.0000000       1.0000       0.0000      -1589.8       0.0000       0.0000       2586.8      -798.95       0.0000       0.0000       0.0000      -200.15    
  340.0000000       1.0000       0.0000      -1589.8       0.0000       0.0000       2586.8      -798.95       0.0000       0.0000       0.0000      -200.15    
  340.2001218       1.0000       0.0000      -1595.8       0.0000       0.0000       2592.9      -799.11       0.0000       0.0000       0.0000      -199.68    
  340.4002436       1.0000       0.0000      -1601.6       0.0000       0.0000       2598.6      -799.01       0.0000       0.0000       0.0000      -199.08    
  340.4264857       1.0000       0.0000      -1602.4       0.0000       0.0000       2599.3      -799.00       0.0000       0.0000       0.0000      -199.00    
  340.4789699       1.0000       0.0000      -1603.9       0.0000       0.0000       2600.8      -798.95       0.0000       0.0000       0.0000      -198.85    
  340.4789699       1.0000       0.0000      -1603.9       0.0000       0.0000       2600.8      -798.95       0.0000       0.0000       0.0000      -198.85    
  340.6390673       1.0000       0.0000      -1608.4       0.0000       0.0000       2605.1      -798.71       0.0000       0.0000       0.0000      -198.45    
  340.7991647       1.0000       0.0000      -1612.9       0.0000       0.0000       2609.2      -798.41       0.0000       0.0000       0.0000      -198.11    
  341.0000000       1.0000       0.0000      -1618.4       0.0000       0.0000       2614.2      -797.98       0.0000       0.0000       0.0000      -197.75    
  341.0000000       1.0000       0.0000      -1618.4       0.0000       0.0000       2614.2      -797.98       0.0000       0.0000       0.0000      -197.75    
  341.0334978       1.0000       0.0000      -1619.3       0.0000       0.0000       2615.0      -797.91       0.0000       0.0000       0.0000      -197.69    
  341.0669955       1.0000       0.0000      -1620.2       0.0000       0.0000       2615.8      -797.83       0.0000       0.0000       0.0000      -197.63    
  341.0986329       1.0000       0.0000      -1621.0       0.0000       0.0000       2616.6      -797.74       0.0000       0.0000       0.0000      -197.44    
  341.1209903       1.0000       0.0000      -1621.6       0.0000       0.0000       2617.1      -797.67       0.0000       0.0000       0.0000      -197.30    
  341.1405617       1.0000       0.0000      -1622.2       0.0000       0.0000       2617.5      -797.60       0.0000       0.0000       0.0000      -197.18    
  341.1612116       1.0000       0.0000      -1622.7       0.0000       0.0000       2618.0      -797.52       0.0000       0.0000       0.0000      -197.06    
  341.1798055       1.0000       0.0000      -1623.2       0.0000       0.0000       2618.4      -797.45       0.0000       0.0000       0.0000      -196.95    
  341.1984890       1.0000       0.0000      -1623.7       0.0000       0.0000       2618.8      -797.38       0.0000       0.0000       0.0000      -196.84    
  341.2164927       1.0000       0.0000      -1624.2       0.0000       0.0000       2619.2      -797.30       0.0000       0.0000       0.0000      -196.74    
  341.2347019       1.0000       0.0000      -1624.6       0.0000       0.0000       2619.6      -797.22       0.0000       0.0000       0.0000      -196.64    
  341.2529417       1.0000       0.0000      -1625.1       0.0000       0.0000       2620.0      -797.14       0.0000       0.0000       0.0000      -196.54    
  341.2719537       1.0000       0.0000      -1625.6       0.0000       0.0000       2620.4      -797.05       0.0000       0.0000       0.0000      -196.43    
  341.2926427       1.0000       0.0000      -1626.2       0.0000       0.0000       2620.8      -796.94       0.0000       0.0000       0.0000      -196.32    
  341.3153501       1.0000       0.0000      -1626.8       0.0000       0.0000       2621.2      -796.82       0.0000       0.0000       0.0000      -196.21    
  341.3408346       1.0000       0.0000      -1627.4       0.0000       0.0000       2621.8      -796.68       0.0000       0.0000       0.0000      -196.07    
  341.3695986       1.0000       0.0000      -1628.2       0.0000       0.0000       2622.3      -796.52       0.0000       0.0000       0.0000      -195.93    
  341.4029150       1.0000       0.0000      -1629.1       0.0000       0.0000       2623.0      -796.32       0.0000       0.0000       0.0000      -195.77    
  341.4420061       1.0000       0.0000      -1630.1       0.0000       0.0000       2623.7      -796.08       0.0000       0.0000       0.0000      -195.59    
  341.4891999       1.0000       0.0000      -1631.3       0.0000       0.0000       2624.6      -795.77       0.0000       0.0000       0.0000      -195.37    
  341.5478014       1.0000       0.0000      -1632.8       0.0000       0.0000       2625.7      -795.37       0.0000       0.0000       0.0000      -195.12    
  341.6239840       1.0000       0.0000      -1634.7       0.0000       0.0000       2627.0      -794.83       0.0000       0.0000       0.0000      -194.81    
  341.7273979       1.0000       0.0000      -1637.4       0.0000       0.0000       2628.8      -794.08       0.0000       0.0000       0.0000      -194.42    
  341.8824781       1.0000       0.0000      -1641.2       0.0000       0.0000       2631.3      -792.91       0.0000       0.0000      1.81649E-06  -193.90    
  342.0000000       1.0000       0.0000      -1644.1       0.0000       0.0000       2633.2      -792.01       0.0000       0.0000      4.41245E-06  -193.54    
  342.0000000       1.0000       0.0000      -1644.1       0.0000       0.0000       2633.2      -792.01       0.0000       0.0000      4.40890E-06  -193.54    
  342.0253099       1.0000       0.0000      -1644.7       0.0000       0.0000       2633.6      -791.81       0.0000       0.0000      6.08273E-06  -193.46    
  342.0506198       1.0000       0.0000      -1645.3       0.0000       0.0000       2634.0      -791.62       0.0000       0.0000      7.75656E-06  -193.39    
  342.1012396       1.0000       0.0000      -1646.5       0.0000       0.0000       2634.7      -791.16       0.0000       0.0000      1.11042E-05  -192.94    
  342.2024792       1.0000       0.0000      -1648.9       0.0000       0.0000       2635.9      -790.07       0.0000       0.0000      1.79088E-05  -191.75    
  342.4049584       1.0000       0.0000      -1653.6       0.0000       0.0000       2637.3      -787.15       0.0000       0.0000      4.04449E-05  -189.75    
  342.8099168       1.0000       0.0000      -1662.6       0.0000       0.0000       2638.6      -780.25       0.0000       0.0000      1.12625E-04  -186.56    
  343.0000000       1.0000       0.0000      -1666.7       0.0000       0.0000       2639.0      -776.86       0.0000       0.0000      1.58716E-04  -186.40    
  343.0000000       1.0000       0.0000      -1666.7       0.0000       0.0000       2639.0      -776.86       0.0000       0.0000      1.58716E-04  -186.40    
  343.0343953       1.0000       0.0000      -4009.8       0.0000       0.0000       7561.9      -907.61       0.0000       0.0000      1.67030E-04  -267.28    
  343.0687906       1.0000       0.0000      -4375.0       0.0000       0.0000       7323.4      -919.61       0.0000       0.0000      1.75361E-04  -325.22    
  343.1011780       1.0000       0.0000      -3935.1       0.0000       0.0000       5691.9      -885.35       0.0000       0.0000      1.83250E-04  -342.14    
  343.1334435       1.0000       0.0000      -3468.8       0.0000       0.0000       4503.0      -852.02       0.0000       0.0000      1.91074E-04  -337.15    
  343.1754500       1.0000       0.0000      -3241.6       0.0000       0.0000       4147.3      -834.05       0.0000       0.0000      2.01259E-04  -326.49    
  343.2406228       1.0000       0.0000      -3253.0       0.0000       0.0000       4344.1      -830.08       0.0000       0.0000      2.15271E-04  -322.44    
  343.3212050       1.0000       0.0000      -3264.1       0.0000       0.0000       4430.3      -826.66       0.0000       0.0000      2.31258E-04  -323.59    
  343.4506987       1.0000       0.0000      -3207.9       0.0000       0.0000       4362.8      -819.62       0.0000       0.0000      2.54713E-04  -324.75    
  343.6548112       1.0000       0.0000      -3119.6       0.0000       0.0000       4261.6      -811.88       0.0000       0.0000      2.83791E-04  -325.38    
  344.0000000       1.0000       0.0000      -3000.6       0.0000       0.0000       4133.0      -803.06       0.0000       0.0000      3.13018E-04  -325.97    
  344.0000000       1.0000       0.0000      -3000.6       0.0000       0.0000       4133.0      -803.06       0.0000       0.0000      3.13018E-04  -325.97    
  344.0275162       1.0000       0.0000      -2991.4       0.0000       0.0000       4123.1      -802.39       0.0000       0.0000      3.13625E-04  -326.01    
  344.0550325       1.0000       0.0000      -2982.3       0.0000       0.0000       4113.3      -801.73       0.0000       0.0000      3.14231E-04  -326.05    
  344.1100650       1.0000       0.0000      -2964.7       0.0000       0.0000       4094.4      -800.50       0.0000       0.0000      3.15444E-04  -326.14    
  344.2201299       1.0000       0.0000      -2931.6       0.0000       0.0000       4058.9      -798.21       0.0000       0.0000      3.17426E-04  -326.28    
  344.4402598       1.0000       0.0000      -2873.1       0.0000       0.0000       3995.8      -794.09       0.0000       0.0000      3.17426E-04  -326.43    
  344.8805197       1.0000       0.0000      -2777.7       0.0000       0.0000       3892.0      -786.36       0.0000       0.0000      3.17425E-04  -326.40    
  345.0000000       1.0000       0.0000      -2753.4       0.0000       0.0000       3865.4      -784.29       0.0000       0.0000      3.17425E-04  -326.37    
  345.0000000       1.0000       0.0000      -2753.4       0.0000       0.0000       3865.4      -784.29       0.0000       0.0000      3.17425E-04  -326.37    
  345.3522079       1.0000       0.0000      -2691.9       0.0000       0.0000       3797.7      -778.57       0.0000       0.0000      3.17425E-04  -326.21    
  345.7044157       1.0000       0.0000      -2638.6       0.0000       0.0000       3738.4      -773.07       0.0000       0.0000      3.17424E-04  -325.96    
  346.0000000       1.0000       0.0000      -2598.7       0.0000       0.0000       3693.5      -768.52       0.0000       0.0000      3.17424E-04  -325.70    
  346.0000000       1.0000       0.0000      -2598.7       0.0000       0.0000       3693.5      -768.52       0.0000       0.0000      3.17424E-04  -325.70    
  346.2817663       1.0000       0.0000      -2562.3       0.0000       0.0000       3653.0      -764.73       0.0000       0.0000      3.17424E-04  -325.51    
  346.5635326       1.0000       0.0000      -2529.3       0.0000       0.0000       3616.3      -761.42       0.0000       0.0000      3.17424E-04  -325.33    
  347.0000000       1.0000       0.0000      -2485.0       0.0000       0.0000       3567.0      -756.74       0.0000       0.0000      3.17424E-04  -325.01    
  347.0000000       1.0000       0.0000      -2485.0       0.0000       0.0000       3567.0      -756.74       0.0000       0.0000      3.17424E-04  -325.01    
  347.2254130       1.0000       0.0000      -2463.9       0.0000       0.0000       3543.5      -754.54       0.0000       0.0000      3.17424E-04  -324.86    
  347.4508261       1.0000       0.0000      -2444.2       0.0000       0.0000       3521.6      -752.52       0.0000       0.0000      3.17424E-04  -324.72    
  347.9016521       1.0000       0.0000      -2409.3       0.0000       0.0000       3482.6      -748.73       0.0000       0.0000      3.17424E-04  -324.41    
  348.0000000       1.0000       0.0000      -2402.0       0.0000       0.0000       3474.3      -747.92       0.0000       0.0000      3.17424E-04  -324.34    
  348.0000000       1.0000       0.0000      -2402.0       0.0000       0.0000       3474.3      -747.92       0.0000       0.0000      3.17424E-04  -324.34    
  348.3606609       1.0000       0.0000      -2377.2       0.0000       0.0000       3446.9      -745.50       0.0000       0.0000      3.17424E-04  -324.17    
  348.7213217       1.0000       0.0000      -2354.4       0.0000       0.0000       3421.9      -743.44       0.0000       0.0000      3.17424E-04  -324.00    
  349.0000000       1.0000       0.0000      -2337.8       0.0000       0.0000       3403.6      -741.97       0.0000       0.0000      3.17424E-04  -323.88    
  349.0000000       1.0000       0.0000      -2337.8       0.0000       0.0000       3403.6      -741.97       0.0000       0.0000      3.17424E-04  -323.88    
  349.2885287       1.0000       0.0000      -2321.5       0.0000       0.0000       3386.5      -741.09       0.0000       0.0000      3.17424E-04  -323.85    
  349.5770574       1.0000       0.0000      -2306.1       0.0000       0.0000       3370.7      -740.72       0.0000       0.0000      3.17424E-04  -323.86    
  350.0000000       1.0000       0.0000      -2285.2       0.0000       0.0000       3349.7      -740.62       0.0000       0.0000      3.17424E-04  -323.86    
  350.0000000       1.0000       0.0000      -2285.2       0.0000       0.0000       3349.7      -740.62       0.0000       0.0000      3.17424E-04  -323.86    
  350.2308229       1.0000       0.0000      -2274.2       0.0000       0.0000       3339.2      -741.10       0.0000       0.0000      3.17424E-04  -323.96    
