#      time         order        t            tair         tout      
  336.0000000       1.0000       16.990      -13.680       19.000    
  336.0277111       1.0000       16.990      -13.688       19.000    
  336.0554222       1.0000       16.990      -13.696       19.000    
  336.0682198       1.0000       16.990      -13.700       19.000    
  336.0682198       1.0000       16.990      -13.700       19.000    
  336.0903887       1.0000       16.990      -13.704       19.000    
  336.1125575       1.0000       16.990      -13.709       19.000    
  336.1568953       1.0000       16.990      -13.718       19.000    
  336.2455708       1.0000       16.990      -13.735       19.000    
  336.4229219       1.0000       16.990      -13.771       19.000    
  336.7776240       1.0000       16.990      -13.842       19.000    
  337.0000000       1.0000       16.990      -13.886       19.000    
  337.0000000       1.0000       16.990      -13.886       19.000    
  337.2837617       1.0000       16.990      -13.932       19.000    
  337.5675234       1.0000       16.990      -13.975       19.000    
  338.0000000       1.0000       16.990      -14.040       19.000    
  338.0000000       1.0000       16.990      -14.040       19.000    
  338.2270094       1.0000       16.990      -14.074       19.000    
  338.4540187       1.0000       16.990      -14.108       19.000    
  338.9080375       1.0000       16.990      -14.176       19.000    
  339.0000000       1.0000       16.990      -14.190       19.000    
  339.0000000       1.0000       16.990      -14.190       19.000    
  339.3632150       1.0000       16.990      -14.230       19.000    
  339.7264300       1.0000       16.990      -14.266       19.000    
  340.0000000       1.0000       16.990      -14.293       19.000    
  340.0000000       1.0000       16.990      -14.293       19.000    
  340.2001218       1.0000       16.990      -14.287       19.000    
  340.4002436       1.0000       16.990      -14.267       19.000    
  340.4264857       1.0000       16.990      -14.264       19.000    
  340.4789699       1.0000       16.990      -14.259       19.000    
  340.4789699       1.0000       16.990      -14.259       19.000    
  340.6390673       1.0000       16.990      -14.243       19.000    
  340.7991647       1.0000       16.990      -14.227       19.000    
  341.0000000       1.0000       16.990      -14.207       19.000    
  341.0000000       1.0000       16.990      -14.207       19.000    
  341.0334978       1.0000       16.990      -14.203       19.000    
  341.0669955       1.0000       16.990      -14.200       19.000    
  341.0986329       1.0000       16.990      -14.189       19.000    
  341.1209903       1.0000       16.990      -14.181       19.000    
  341.1405617       1.0000       16.990      -14.175       19.000    
  341.1612116       1.0000       16.990      -14.167       19.000    
  341.1798055       1.0000       16.990      -14.161       19.000    
  341.1984890       1.0000       16.990      -14.154       19.000    
  341.2164927       1.0000       16.990      -14.148       19.000    
  341.2347019       1.0000       16.990      -14.142       19.000    
  341.2529417       1.0000       16.990      -14.135       19.000    
  341.2719537       1.0000       16.990      -14.129       19.000    
  341.2926427       1.0000       16.990      -14.121       19.000    
  341.3153501       1.0000       16.990      -14.113       19.000    
  341.3408346       1.0000       16.990      -14.105       19.000    
  341.3695986       1.0000       16.990      -14.094       19.000    
  341.4029150       1.0000       16.990      -14.083       19.000    
  341.4420061       1.0000       16.990      -14.069       19.000    
  341.4891999       1.0000       16.990      -14.053       19.000    
  341.5478014       1.0000       16.990      -14.032       19.000    
  341.6239840       1.0000       16.990      -14.005       19.000    
  341.7273979       1.0000       16.990      -13.969       19.000    
  341.8824781       1.0000       16.990      -13.915       19.000    
  342.0000000       1.0000       16.990      -13.874       19.000    
  342.0000000       1.0000       16.990      -13.874       19.000    
  342.0253099       1.0000       16.990      -13.865       19.000    
  342.0506198       1.0000       16.990      -13.856       19.000    
  342.1012396       1.0000       16.990      -13.822       19.000    
  342.2024792       1.0000       16.990      -13.736       19.000    
  342.4049584       1.0000       16.990      -13.564       19.000    
  342.8099168       1.0000       16.990      -13.219       19.000    
  343.0000000       1.0000       16.990      -13.058       19.000    
  343.0000000       1.0000       16.990      -13.058       19.000    
  343.0343974       1.0000       16.990      -13.029       20.190    
  343.0687947       1.0000       16.990      -12.999       21.041    
  343.1011975       1.0000       16.990      -12.969       21.286    
  343.1334790       1.0000       16.990      -12.938       21.208    
  343.1755055       1.0000       16.990      -12.898       21.047    
  343.2407045       1.0000       16.990      -12.836       20.982    
  343.3212849       1.0000       16.990      -12.759       20.994    
  343.4507502       1.0000       16.990      -12.636       21.003    
  343.6548670       1.0000       16.990      -12.443       21.003    
  344.0000000       1.0000       16.990      -12.115       21.002    
  344.0000000       1.0000       16.990      -12.115       21.002    
  344.0275179       1.0000       16.990      -12.089       21.002    
  344.0550358       1.0000       16.990      -12.062       21.002    
  344.1100716       1.0000       16.990      -12.014       21.002    
  344.2201431       1.0000       16.990      -11.921       21.002    
  344.4402862       1.0000       16.990      -11.734       21.002    
  344.8805725       1.0000       16.990      -11.359       21.001    
  345.0000000       1.0000       16.990      -11.258       21.001    
  345.0000000       1.0000       16.990      -11.258       21.001    
  345.3522290       1.0000       16.990      -10.987       21.001    
  345.7044580       1.0000       16.990      -10.723       21.001    
  346.0000000       1.0000       16.990      -10.501       21.001    
  346.0000000       1.0000       16.990      -10.501       21.001    
  346.2817832       1.0000       16.990      -10.343       21.001    
  346.5635664       1.0000       16.990      -10.202       21.001    
  347.0000000       1.0000       16.990      -9.9841       21.001    
  347.0000000       1.0000       16.990      -9.9841       21.001    
  347.2254266       1.0000       16.990      -9.8871       21.001    
  347.4508531       1.0000       16.990      -9.7969       21.001    
  347.9017062       1.0000       16.990      -9.6166       21.000    
  348.0000000       1.0000       16.990      -9.5772       21.000    
  348.0000000       1.0000       16.990      -9.5772       21.000    
  348.3606825       1.0000       16.990      -9.4769       21.000    
  348.7213650       1.0000       16.990      -9.3867       21.000    
  349.0000000       1.0000       16.990      -9.3170       21.000    
  349.0000000       1.0000       16.990      -9.3170       21.000    
  349.2885460       1.0000       16.990      -9.3000       21.000    
  349.5770920       1.0000       16.990      -9.3000       21.000    
  350.0000000       1.0000       16.990      -9.3000       21.000    
  350.0000000       1.0000       16.990      -9.3000       21.000    
  350.2308368       1.0000       16.990      -9.3488       21.000    
  350.4616736       1.0000       16.990      -9.4181       21.000    
  350.9233472       1.0000       16.990      -9.5566       21.000    
  351.0000000       1.0000       16.990      -9.5796       21.000    
  351.0000000       1.0000       16.990      -9.5796       21.000    
  351.3693389       1.0000       16.990      -9.7205       21.000    
  351.7386777       1.0000       16.990      -9.8682       21.000    
  352.0000000       1.0000       16.990      -9.9728       21.000    
  352.0000000       1.0000       16.990      -9.9728       21.000    
  352.2954711       1.0000       16.990      -10.114       21.000    
  352.5909422       1.0000       16.990      -10.261       21.000    
  353.0000000       1.0000       16.990      -10.466       21.000    
  353.0000000       1.0000       16.990      -10.466       21.000    
  353.2363769       1.0000       16.990      -10.626       21.000    
  353.4727537       1.0000       16.990      -10.803       21.000    
  353.9455075       1.0000       16.990      -11.158       21.000    
  354.0000000       1.0000       16.990      -11.199       21.000    
  354.0000000       1.0000       16.990      -11.199       21.000    
  354.0046236       1.0000       16.990      -11.202       20.936    
  354.0092473       1.0000       16.990      -11.206       20.824    
  354.0134993       1.0000       16.990      -11.209       20.721    
  354.0183215       1.0000       16.990      -11.213       20.610    
  354.0235096       1.0000       16.990      -11.217       20.495    
  354.0295705       1.0000       16.990      -11.221       20.368    
  354.0367403       1.0000       16.990      -11.226       20.226    
  354.0460314       1.0000       16.990      -11.233       20.055    
  354.0614145       1.0000       16.990      -11.245       19.803    
  354.0775514       1.0000       16.990      -11.255       19.568    
  354.0952474       1.0000       16.990      -11.265       19.341    
  354.1127748       1.0000       16.990      -11.275       19.141    
  354.1321040       1.0000       16.990      -11.285       18.960    
  354.1528446       1.0000       16.990      -11.297       18.850    
  354.1760775       1.0000       16.990      -11.309       18.837    
  354.2020327       1.0000       16.990      -11.324       18.882    
  354.2319561       1.0000       16.990      -11.340       18.964    
  354.2669690       1.0000       16.990      -11.359       19.016    
  354.3090002       1.0000       16.990      -11.382       19.019    
  354.3607550       1.0000       16.990      -11.411       19.004    
  354.4273817       1.0000       16.990      -11.448       18.997    
  354.5171632       1.0000       16.990      -11.497       18.998    
  354.6460732       1.0000       16.990      -11.568       18.998    
  354.8495059       1.0000       16.990      -11.680       18.998    
  355.0000000       1.0000       16.990      -11.763       18.999    
  355.0000000       1.0000       16.990      -11.763       18.999    
  355.0034017       1.0000       16.990      -11.764       18.999    
  355.0068033       1.0000       16.990      -11.766       18.999    
  355.0136066       1.0000       16.990      -11.770       18.999    
  355.0272133       1.0000       16.990      -11.778       18.999    
  355.0544265       1.0000       16.990      -11.792       18.999    
  355.1088531       1.0000       16.990      -11.818       18.999    
  355.2177062       1.0000       16.990      -11.867       18.999    
  355.4354123       1.0000       16.990      -11.965       18.999    
  355.8708247       1.0000       16.990      -12.161       18.999    
  356.0000000       1.0000       16.990      -12.219       18.999    
  356.0000000       1.0000       16.990      -12.219       18.999    
  356.3483299       1.0000       16.990      -12.376       18.999    
  356.6966597       1.0000       16.990      -12.533       18.999    
  357.0000000       1.0000       16.990      -12.669       18.999    
  357.0000000       1.0000       16.990      -12.669       18.999    
  357.2786639       1.0000       16.990      -12.774       18.999    
  357.5573278       1.0000       16.990      -12.871       18.999    
  358.0000000       1.0000       16.990      -13.026       18.999    
  358.0000000       1.0000       16.990      -13.026       18.999    
  358.2229311       1.0000       16.990      -13.104       18.999    
  358.4458622       1.0000       16.990      -13.182       18.999    
  358.4664365       1.0000       16.990      -13.189       19.000    
  358.5075852       1.0000       16.990      -13.204       19.000    
  358.5075852       1.0000       16.990      -13.204       19.000    
  358.6859301       1.0000       16.990      -13.266       19.000    
  358.8642750       1.0000       16.990      -13.329       19.000    
  359.0000000       1.0000       16.990      -13.376       19.000    
  359.0000000       1.0000       16.990      -13.376       19.000    
  359.1426759       1.0000       16.990      -13.422       19.000    
  359.2853518       1.0000       16.990      -13.465       19.000    
  359.5707036       1.0000       16.990      -13.551       19.000    
  360.0000000       1.0000       16.990      -13.678       19.000    
